name_vi,name_en,cas,formula,appendix,group_no,table_ref,threshold_kg,loai
"1,3-Butadien","1,3-Butadiene",106-99-0,C4H6,I,,,,
1-Butene,1-Buten,106-98-9,C4H8,I,,,,
Acrylonitrile,Acrylonitrile,107-13-1,C3H3N,I,,,,
Amoniac (khan),Ammonia (anhydrous),7664-41-7,NH3,I,,,,
Argon,Argon,7440-37-1,Ar,I,,,,
Axit Axetic (GAA),Ethanoic acid,64-19-7,C2H4O2,I,,,,
Axit Hydrochloric,Hydrochloric acid,7647-01-0,HCl,I,,,,
Axit nitric,Nitric acid,7697-37-2,HNO3,I,,,,
Axit photphoric,Phosphoric acid,7664-38-2,H3PO4,I,,,,
Axit Sulfuric,Sulfuric acid,7664-93-9,H2SO4,I,,,,
Benzen,Benzene,71-43-2,C6H6,I,,,,
"Diisocyanate (TDI, MDI, HDI…)","Diisocyanate (TDI, MDI, HDI…)",,,I,,,,
Etanol,Ethanol,64-17-5,C2H6O,I,,,,
Ethylene glycol,Ethylene glycol,107-21-1,C2H6O2,I,,,,
Etylen,Ethylene,74-85-1,C2H4,I,,,,
Etylen oxit,Ethylene oxide,75-21-8,C2H4O,I,,,,
Hydro florua,Hydrogen fluoride,7664-39-3,HF,I,,,,
Hydro peroxit,Hydrogen peroxide,7722-84-1,H2O2,I,,,,
Isopropanol,Isopropyl alcohol,67-63-0,C3H8O,I,,,,
Mangan Sunphat,Manganese sulfate,7785-87-7,MnSO4,I,,,,
Metanol,Methanol,67-56-1,CH4O,I,,,,
Methyl ethyl ketone (MEK),2-Butanone,78-93-3,C4H8O,I,,,,
n-Butanol,n-Butanol,71-36-3,C4H10O,I,,,,
Natri bicarbonat,Sodium Bicarbonate,144-55-8,CHNaO3,I,,,,
Natri hydroxit,Sodium hydroxide,1310-73-2,NaOH,I,,,,
Nitơ,Nitrogen,7727-37-9,N2,I,,,,
Oxy,Oxygen,7782-44-7,O2,I,,,,
Phenol,Phenol,108-95-2,C6H6O,I,,,,
Phosphorus pentachloride,Phosphorus pentachloride,10026-13-8,PCl5,I,,,,
Photpho trihydrua (photphin),Phosphorus trihydride (phosphine),7803-51-2,PH3,I,,,,
Propylen,1-Propene,115-07-1,C3H6,I,,,,
Silan,Silane,7803-62-5,SiH4,I,,,,
Titan dioxit,Titanium dioxide,13463-67-7,TiO2,I,,,,
Toluene,Methyl benzene,108-88-3,C7H8,I,,,,
Triethanol amine,Triethanolamine,102-71-6,C6H15NO3,I,,,,
Vinyl benzen,Vinyl benzene (styrene),100-42-5,C8H8,I,,,,
Vinyl clorua,Vinyl chloride,75-01-4,C2H3Cl,I,,,,
Xyclohexan,Cyclohexane,110-82-7,C6H12,I,,,,
Xylen,Xylene,1330-20-7,C8H10,I,,,,
"(1RS,2RS;1RS,2SR)-1-(Biphenyl-4-yloxy)-3,3-dimetyl-1-(1H-1,2,4-triazol-1-yl) butan-2-ol","(1RS,2RS;1RS,2SR)-1-(Biphenyl-4-yloxy)-3,3-dimethyl-1-(1H-1,2,4-triazol-1-yl) butan-2-ol",55179-31-2,C20H23N3O2,II,1,,,
"(E)-β-((Diclophenyl) metylen)-α-(1,1-dimetyl-etyl)-1H-1,2,4-triazol-1-ethanol","(E)-β-((Dichlorphenyl)methylen)-α-(1,1-dimethyl-ethyl)-1H-1,2,4-triazol-1-ethanol",83657-18-5,C15H17Cl2N3O,II,1,,,
"(RS)-2-Clo-N-(2,4-dimetyl-3-thienyl)-N-(2-methoxy-1-metyl ethyl) acetamit","(RS)-2-Chloro-N-(2,4-dimethyl-3-thienyl)-N-(2-methoxy-1-methylethyl) acetamide",87674-68-8,C12H18ClNO2S,II,1,,,
"1,1,1,2-Tetraclo etan","1,1,1,2-Tetrachloroethane",630-20-6,C2H2Cl4,II,1,,,
"1,1,1-Triclo etan","1,1,1-Trichloroethane",71-55-6,C2H3Cl3,II,1,,,
"1,1,2,2-Tetraclo etan","1,1,2,2-Tetrachloroethane",79-34-5,C2H2Cl4,II,1,,,
"1,1-Diclo etan","1,1-Dichloro ethane",75-34-3,C2H4Cl2,II,1,,,
